country_name,iso3c,volatility,mean_democracy,n_years,total_decline,avg_decline,n_declines,had_backsliding,n_episodes
Luxembourg,LUX,0.0024122273068079955,0.7930833333333334,24,0.009000000000000008,0.0030000000000000027,3,FALSE,0
Madagascar,MDG,0.06540075731955262,0.22504166666666667,24,0.2600000000000001,0.03714285714285716,7,TRUE,0
Malawi,MWI,0.04510501032614602,0.420125,24,0.11300000000000004,0.010272727272727275,11,FALSE,0
Malaysia,MYS,0.05585248427778303,0.23224999999999998,24,0.052000000000000046,0.0074285714285714345,7,FALSE,0
Maldives,MDV,0.14423642025347216,0.23866666666666667,24,0.23000000000000004,0.02555555555555556,9,TRUE,0
Mali,MLI,0.09356512689573232,0.3335416666666667,24,0.43999999999999995,0.044,10,TRUE,0
Malta,MLT,0.022321717182399194,0.6107916666666666,24,0.08200000000000007,0.008200000000000008,10,FALSE,0
Mauritania,MRT,0.0340603684015921,0.17675,24,0.16999999999999998,0.021249999999999998,8,TRUE,0
Mauritius,MUS,0.09218623832347149,0.5969583333333334,24,0.32700000000000007,0.027250000000000007,12,TRUE,0
Mexico,MEX,0.05131642037398945,0.445625,24,0.253,0.023,11,FALSE,0
Moldova,MDA,0.0999534674344713,0.452,24,0.34099999999999997,0.030999999999999996,11,TRUE,0
Mongolia,MNG,0.035165344435613914,0.5385833333333333,24,0.1979999999999999,0.016499999999999994,12,FALSE,0
Montenegro,MNE,0.028891099878230887,0.3815,24,0.05300000000000005,0.006625000000000006,8,FALSE,0
Morocco,MAR,0.008272093823928982,0.23091666666666666,24,0.020999999999999963,0.002999999999999995,7,FALSE,0
Mozambique,MOZ,0.027867699862962742,0.2815,24,0.10699999999999998,0.008230769230769229,13,FALSE,0
Namibia,NAM,0.022147684473466548,0.5375416666666667,24,0.12,0.010909090909090908,11,TRUE,0
Nepal,NPL,0.14668851327740776,0.38104166666666667,24,0.506,0.05622222222222222,9,TRUE,0
Netherlands,NLD,0.012118900677173142,0.8177916666666667,24,0.06399999999999983,0.00914285714285712,7,FALSE,0
New Zealand,NZL,0.006762937145987665,0.8312083333333333,24,0.03700000000000003,0.004625000000000004,8,FALSE,0
Nicaragua,NIC,0.1315849797053523,0.19079166666666666,24,0.36700000000000005,0.01931578947368421,19,TRUE,0
Niger,NER,0.07001133448607974,0.40275,24,0.463,0.03561538461538462,13,TRUE,0
Nigeria,NGA,0.03735724033968652,0.3365416666666667,24,0.12100000000000005,0.01344444444444445,9,FALSE,0
North Korea,PRK,0,0.014,24,0,NA,0,FALSE,0
North Macedonia,MKD,0.060004694864627894,0.37604166666666666,24,0.26299999999999996,0.016437499999999997,16,FALSE,0
Norway,NOR,0.011488809930675529,0.8555833333333334,24,0.05500000000000005,0.009166666666666675,6,FALSE,0
Oman,OMN,0.010452012496040716,0.133125,24,0.010999999999999982,0.0027499999999999955,4,FALSE,0
Pakistan,PAK,0.05748608842423391,0.22595833333333332,24,0.11200000000000002,0.007466666666666668,15,FALSE,0
Palestine/West Bank,PSE,0.06998799068825816,0.19483333333333336,24,0.268,0.02436363636363636,11,TRUE,0
Panama,PAN,0.007183793152504525,0.5542916666666667,24,0.04300000000000004,0.006142857142857149,7,FALSE,0
Papua New Guinea,PNG,0.02560216815999681,0.3690833333333333,24,0.08200000000000002,0.006307692307692309,13,FALSE,0
Paraguay,PRY,0.035878619849693774,0.43383333333333335,24,0.127,0.021166666666666667,6,TRUE,0
Peru,PER,0.10148976353036436,0.6405416666666667,24,0.17599999999999982,0.01759999999999998,10,FALSE,0
Philippines,PHL,0.05332262686919958,0.3672083333333333,24,0.24600000000000005,0.015375000000000003,16,TRUE,0
Poland,POL,0.1619599554640376,0.706375,24,0.4259999999999999,0.03276923076923076,13,TRUE,0
Portugal,PRT,0.023178849366847654,0.8242916666666666,24,0.11099999999999999,0.012333333333333332,9,TRUE,0
Qatar,QAT,0.005274872070706441,0.09245833333333334,24,0.021999999999999992,0.0036666666666666653,6,FALSE,0
Republic of the Congo,COG,0.011350796435058862,0.10183333333333333,24,0.019000000000000003,0.0027142857142857147,7,FALSE,0
Romania,ROU,0.06887370293894284,0.51825,24,0.33100000000000007,0.0472857142857143,7,TRUE,0
Russia,RUS,0.037877663487923166,0.12875,24,0.16,0.007619047619047619,21,FALSE,0
Rwanda,RWA,0.011449954116736119,0.11933333333333333,24,0.044,0.0055,8,FALSE,0
Sao Tome and Principe,STP,0.021510193067406445,0.5505833333333333,24,0.05799999999999983,0.007249999999999979,8,FALSE,0
Saudi Arabia,SAU,0.0027026556987687048,0.0435,24,0.0040000000000000036,0.0010000000000000009,4,FALSE,0
Senegal,SEN,0.03491729358504675,0.536,24,0.24599999999999989,0.02459999999999999,10,TRUE,0
Serbia,SRB,0.11902137184775573,0.4055,24,0.32200000000000006,0.023000000000000003,14,TRUE,0
Seychelles,SYC,0.12118849104728897,0.4232916666666667,24,0.02200000000000002,0.005500000000000005,4,FALSE,0
Sierra Leone,SLE,0.08409255597860309,0.3259166666666667,24,0.11199999999999999,0.015999999999999997,7,TRUE,0
Singapore,SGP,0.012039488168619092,0.31758333333333333,24,0.026000000000000023,0.0026000000000000025,10,FALSE,0
Slovakia,SVK,0.013084383323509061,0.740375,24,0.1080000000000001,0.01200000000000001,9,FALSE,0
Slovenia,SVN,0.04599856251692209,0.7499583333333334,24,0.32200000000000006,0.02476923076923078,13,TRUE,0
Solomon Islands,SLB,0.07276345186655339,0.4154583333333333,24,0.13,0.026000000000000002,5,TRUE,0
Somalia,SOM,0.03277149698278603,0.09283333333333332,24,0.036000000000000004,0.007200000000000001,5,FALSE,0
Somaliland,NA,0.03584901914854915,0.23525000000000001,24,0.03500000000000003,0.0050000000000000044,7,FALSE,0
South Africa,ZAF,0.018275617319417632,0.6354583333333333,24,0.09400000000000008,0.008545454545454552,11,FALSE,0
South Korea,KOR,0.07032068108604893,0.7189583333333334,24,0.3440000000000001,0.03440000000000001,10,TRUE,0
Spain,ESP,0.020561678158546592,0.794,24,0.138,0.013800000000000002,10,FALSE,0
Sri Lanka,LKA,0.08129173398625936,0.3305416666666667,24,0.24200000000000002,0.024200000000000003,10,TRUE,0
Sudan,SDN,0.013896094749078332,0.05683333333333333,24,0.045,0.005625,8,FALSE,0
Suriname,SUR,0.018379996609420784,0.6445416666666667,24,0.10100000000000009,0.010100000000000008,10,FALSE,0
Sweden,SWE,0.00910764927752046,0.8769166666666667,24,0.04600000000000004,0.004600000000000004,10,FALSE,0
Switzerland,CHE,0.0094669524349601155,0.8516666666666667,24,0.030000000000000027,0.004285714285714289,7,FALSE,0
Syria,SYR,0.01132259188333315,0.040125,24,0.03299999999999999,0.0041249999999999985,8,FALSE,0
Taiwan,TWN,0.023778529775006448,0.693875,24,0.06799999999999995,0.008499999999999994,8,FALSE,0
Tajikistan,TJK,0.01764253547455735,0.06195833333333333,24,0.06,0.005,12,FALSE,0
