iso3c,country,gdp_pc_mean,log_gdp_mean
ECA,Europe & Central Asia (excluding high income),16934.04494068289,9.737081368071554
ECS,Europe & Central Asia,37228.25852641239,10.524823389689256
ECU,Ecuador,12196.34130192432,9.408891292459472
EGY,"Egypt, Arab Rep.",12911.159977822095,9.465847330913698
EMU,Euro area,50365.59218251804,10.827063526125945
ESP,Spain,43457.053307645285,10.679528449110567
EST,Estonia,33929.97183464526,10.432054027676111
ETH,Ethiopia,1634.018802254875,7.398797782241673
EUU,European Union,46600.028441170514,10.749356430439098
FCS,Fragile and conflict affected situations,5876.973250773149,8.678797155091853
FIN,Finland,53742.778783025045,10.891964588741589
FJI,Fiji,10657.448937718747,9.274014357421578
FRA,France,49936.1412456963,10.81850029304101
FRO,Faroe Islands,62355.13680886416,11.040601334384421
FSM,"Micronesia, Fed. Sts.",3733.2490567441414,8.225034194273887
GAB,Gabon,19639.168738112377,9.88528125606937
GBR,United Kingdom,48421.711706234295,10.787703581090554
GEO,Georgia,12902.856080593525,9.465203967440445
GHA,Ghana,4991.8525335561635,8.51556236905928
GIN,Guinea,2916.850405220174,7.978259684774869
GMB,"Gambia, The",2658.5527228285205,7.885537164543315
GNB,Guinea-Bissau,2223.5452411022407,7.706858156540358
GNQ,Equatorial Guinea,26074.307185019676,10.168705709430448
GRC,Greece,34843.09363774257,10.45861022259675
GRD,Grenada,14255.511713719725,9.564898897841715
